,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,DABRA,Others,2017-01-01 12:51:22.973,Others,GWALIOR,No chance of rainfall at next 4 days in your district.but some weather will be cloudy.,Farmer wants to know information about weather forecast of      district?,	Plant Protection	,KHARIF,AGRICULTURE,MADHYA PRADESH
1,MORAR,Others,2017-01-01 15:14:44.870,Others,GWALIOR,"Morar 1 – 3 Day Weather Forecast Summary: Mostly dry. Warm (max 24°C on Tue afternoon, min 11°C on Tue night). Wind will be generally light.",Farmer wants to know information about weather of morer block?,Weather,RABI,AGRICULTURE,MADHYA PRADESH
2,MORAR,Others,2017-01-01 18:06:44.177,Others,GWALIOR,According to metrology department of India there is  chance for rainfall next 10 days for your district.,Farmer wants to know information about weather in gwalior district ?,Weather,RABI,AGRICULTURE,MADHYA PRADESH
3,DABRA,Cereals,2017-01-02 07:29:42.983,Wheat,GWALIOR,"Gwalior 1 – 3 Day Weather Forecast Summary: Mostly dry. Warm (max 25°C on Wed afternoon, min 10°C on Tue night). Wind will be generally light.",farmer want to know information about weather in gwalior district?,Weather,RABI,AGRICULTURE,MADHYA PRADESH
4,BHITARWAR,Others,2017-01-02 09:03:03.313,Others,GWALIOR,"Gwalior 7 – 10 Day Weather Forecast Summary: Mostly dry. Warm (max 23°C on Sun afternoon, min 7°C on Tue night). Wind will be generally light.",farmer want to know information about weather forcast in district?,Weather,KHARIF,AGRICULTURE,MADHYA PRADESH
5,MORAR,Others,2017-01-02 09:27:36.353,Others,GWALIOR,recommended for foliar application of IFFCO 0L:52:34 water soluble fertilizer @ 100 gm/pump.,farmer want to know information about  how to increase growth of  mater  crop?,Fertilizer Use and Availability,KHARIF,AGRICULTURE,MADHYA PRADESH
6,DABRA,Others,2017-01-02 10:02:06.403,Others,GWALIOR,"Gwalior 1 – 3 Day Weather Forecast Summary: Mostly dry. Warm (max 25°C on Wed afternoon, min 10°C on Tue night). Wind will be generally light.",farmer want to know information about  weather of Gwalior ?,Weather,RABI,AGRICULTURE,MADHYA PRADESH
7,BHITARWAR,Others,2017-01-02 10:32:51.747,Others,GWALIOR,"10 day forecast
Today Clear
Hi: +23°
Lo: +10°
N 3 m/s Details
Tomorrow Mostly clear
Hi: +23°
Lo: +10°
N 2 m/s Details
Wed Jan 4 Clear
Hi: +24°
Lo: +11°
S 3 m/s Details
Thu Jan 5 Clear
Hi: +25°
Lo: +11°
S 2 m/s Details
Fri Jan 6 Clear
Hi: +26°
Lo: +11°
SW 5 m/s Details
Sat Jan 7 Mostly clear
Hi: +25°
Lo: +10°
N 2 m/s Details
Sun Jan 8 Clear
Hi: +20°
Lo: +7°
N 2 m/s Details
Mon Jan 9 Clear
Hi: +19°
Lo: +6°
NW 3 m/s Details
Tue Jan 10 Clear
Hi: +18°
Lo: +7°
NW 4 m/s Details
Wed Jan 11 Clear
Hi: +19°
Lo: +4°
W 3 m/s Details",farmer want to know weather of gwalior district?,Weather,RABI,AGRICULTURE,MADHYA PRADESH
8,BHITARWAR,Cereals,2017-01-02 10:55:59.173,Wheat,GWALIOR,Recommended for N: P: K 0:52:34 1 kg at per Acer.,farmer want to know information about How to increase size and production in wheat crop?,Fertilizer Use and Availability,RABI,AGRICULTURE,MADHYA PRADESH
9,DABRA,Others,2017-01-02 12:54:56.727,Others,GWALIOR,"Gwalior 1 – 3 Day Weather Forecast Summary: Mostly dry. Warm (max 25°C on Wed afternoon, min 11°C on Tue night). Wind will be generally light.",farmer want to know information about  weather of Gwalior ?,Weather,RABI,AGRICULTURE,MADHYA PRADESH
10,DABRA,Others,2017-01-02 13:15:37.577,Others,GWALIOR,"714/5000
dabara
10 divaseey poorvaanumaan
aaj mukhyatah saaf
adhikatam: +22°
nyoonatam: +9°
n 3 mee/se. byore
kal mukhyatah saaf
adhikatam: +22°
nyoonatam: +9°
n 2 mee/se. byore
budh ,4 janavaree aasamaan saaf
adhikatam: +23°
nyoonatam: +10°
sw 2 mee/se. byore
guru ,5 janavaree aasamaan saaf
adhikatam: +24°
nyoonatam: +10°
sw 2 mee/se. byore
shukr ,6 janavaree aasamaan saaf
adhikatam: +26°
nyoonatam: +10°
w 3 mee/se. byore
shani,7 janavaree aanshik roop se baadal
adhikatam: +25°
nyoonatam: +11°
nw 2 mee/se. byore
ravi ,8 janavaree aasamaan saaf
adhikatam: +21°
nyoonatam: +9°
n 2 mee/se. byore
som ,9 janavaree aasamaan saaf
adhikatam: +19°
nyoonatam: +7°
n 3 mee/se. byore
mangal ,10 janavaree aasamaan saaf
adhikatam: +18°
nyoonatam: +6°
nw 4 mee/se. byore
budh ,11 janavaree aasamaan saaf
adhikatam: +19°
nyoonatam: +7°
nw 3 mee/se. byore
Puddle
10 day forecast
Today Clear
Max: + 22 °
Lo: + 9 °
N 3 m / s. Details
Partly cloudy tomorrow
Max: + 22 °
Lo: + 9 °
N 2 m / s. Details
Wed, Jan 4 Clear
Max: + 23 °
Minimum: + 10 °
SW 2 m / s. Details
Thu, January 5 Clear
Max: + 24 °
Minimum: + 10 °
SW 2 m / s. Details
Fri, January 6 Clear
Max: + 26 °
Minimum: + 10 °
W 3 m / s. Details
Sat, Jan 7 Partly cloudy
Max: + 25 °
Minimum: + 11 °
NW 2 m / s. Details
Sunday, January 8 Clear
Max: + 21 °
Lo: + 9 °
N 2 m / s. Details
Mon, January 9 Clear
Max: + 19 °
Lo: + 7 °
N 3 m / s. Details
Tue, 10 January Partly cloudy
Max: + 18 °
Minimum: + 6 °
NW 4 m / s. Details
Wed, Jan. 11 Clear
Max: + 19 °
Lo: + 7 °
NW 3 m / s. Details",Farmer wants to knows information about weather forecasting in district?,Weather,RABI,AGRICULTURE,MADHYA PRADESH
11,DABRA,Others,2017-01-02 17:34:13.427,Others,GWALIOR,According to metrology department of India there is No chance of rainfall for next week for dist,Farmer wants to know information about weather in gwalior district,Weather,RABI,AGRICULTURE,MADHYA PRADESH
12,BHITARWAR,Others,2017-01-03 15:49:59.127,Others,GWALIOR,Recommended for to know about govt. schemes of horticulture please contact rural horticulture extension officer.,Farmer wants to know information about govt. schemes of horticulture?,Government Schemes,RABI,AGRICULTURE,MADHYA PRADESH
13,DABRA,Others,2017-01-03 16:43:14.857,Others,GWALIOR,no chance of rainfall next five days in your district,farmer wants to knows information about weather forecasting,Weather,RABI,AGRICULTURE,MADHYA PRADESH
14,DABRA,Cereals,2017-01-04 12:55:19.960,Wheat,GWALIOR,Recommended for Spray of Troijofos 40 EC 1000 Ml. / hac.,Farmer need information regarding control measures of caterpillars in wheat crop?,	Plant Protection	,RABI,AGRICULTURE,MADHYA PRADESH
