,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,BILOLI                                            ,Cereals,2017-01-01 07:57:44.103,Wheat,NANDED,spraying on wheat - 200 gram uria/15 litor of water,asking about spraying on wheat ?,Fertilizer Use and Availability,RABI,AGRICULTURE,MAHARASHTRA
1,LOHA                                              ,Fiber Crops,2017-01-01 09:01:15.537,Cotton (Kapas),NANDED,"Market price of cotton  -	
Min-   5260 , Max-5360 ,    Average-   5260 /quintal",Farmer asked about market rate cotton ?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
2,BHOKAR,Fiber Crops,2017-01-01 09:07:13.093,Cotton (Kapas),NANDED,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta,ASKED ABOUT PINK BOLWORM IN COTTON ?,	Plant Protection	,RABI,AGRICULTURE,MAHARASHTRA
3,LOHA                                              ,Cereals,2017-01-01 09:13:38.413,Wheat,NANDED,"Market Rate of wheat -	1750	2600	2500
 rupees/qtl",Asking About Market Rate of wheat ?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
4,MAHUR                                             ,Fiber Crops,2017-01-01 09:24:02.993,Cotton (Kapas),NANDED,MARKET RATE OF COTTON- KINWAT -4800-4950 RS/QTL PARBHANI-5260-5360 RS/QTL WARDHA -5000-5250 RS/QTL,FARMER ASKED ABOUT MARKET RATE OF COTTON  ?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
5,MAHUR                                             ,Others,2017-01-01 09:28:22.193,Others,NANDED,"Partly cloudy, No Possibility of Rain",Asking about weather forecast  ?,Weather,RABI,AGRICULTURE,MAHARASHTRA
6,HADGAON                                           ,Pulses,2017-01-01 09:28:22.340,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),NANDED,Spray Boom flower 30ml(DeviCropscience)/15 liter of Water.,FOR BLOOSMING,Nutrient Management,RABI,AGRICULTURE,MAHARASHTRA
7,NANDED                                            ,Pulses,2017-01-01 09:30:29.277,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),NANDED,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,ATTACK OF GRAM POD BORER ?,	Plant Protection	,RABI,AGRICULTURE,MAHARASHTRA
8,MOKHED,Sugar and Starch Crops,2017-01-01 09:41:52.357,Sugarcane (Noble Cane),NANDED,Spray 2% Urea 200 gm/10Lit of Water.,FERTILIZER SPRAY FOR SUGARCANE ?,Weed Management,RABI,AGRICULTURE,MAHARASHTRA
9,DEGLUR                                            ,Others,2017-01-01 09:47:22.420,Others,NANDED,"Partly cloudy, No Possibility of Rain",Asking about weather forecast  ?,Weather,RABI,AGRICULTURE,MAHARASHTRA
10,HADGAON                                           ,Fiber Crops,2017-01-01 10:15:30.803,Cotton (Kapas),NANDED,Market Rate of COTTON  - 5150-5315 rupees/qtl,Asking About Market Rate of COTTON?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
11,DHARMABAD                                         ,Condiments and Spices,2017-01-01 10:56:47.953,Turmeric,NANDED,"This should reduce the period of land pratinusara excess. After the rains should ensure that water will not stagnate on the ground in pavasaceha. After the rainy winter in the water to keep the distance between the 2 palimadhila 12 to 15 days. 15 days before harvesting, but should not be any water.",asked about water management,"Water Management, Micro Irrigation",RABI,HORTICULTURE,MAHARASHTRA
12,HADGAON                                           ,Fiber Crops,2017-01-01 11:21:49.637,Cotton (Kapas),NANDED,Market Rate of   5000rupees/qtl,Asking About Market Rate of?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
13,HADGAON                                           ,Sugar and Starch Crops,2017-01-01 11:24:08.723,Sugarcane (Noble Cane),NANDED,SPRAY 19 19 19 40 GM + MICROLLA 30 ML + HUMIC ACID 30 ML  /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH ON SUGARCANE ?,Fertilizer Use and Availability,JAYAD,AGRICULTURE,MAHARASHTRA
14,MAHUR                                             ,Fiber Crops,2017-01-01 11:51:21.263,Cotton (Kapas),NANDED,MARKET RATE OF COTTON -KINWAT -4800-4950 RS/QTL,FARMER ASKED ABOUT MARKET RATE OF COTTON ?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
15,MAHUR                                             ,Pulses,2017-01-01 12:10:30.447,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),NANDED,RS 4000-5100/qtl latur tur market,asked about market rate of tur ?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
16,HIMAYATNAGAR,Others,2017-01-01 12:18:08.763,Others,NANDED,"?????? ?????? (??./??.)-???-??? ????? ?? ??? ?????(??????)
???????? ???? (??.????)-??*?? ? ??*?? ? ??*?? 
?????? ??????? (????)???-???
??????? ??????? (???????/??.)???-???
??????? ????-?????????,??????,???? ????,???????,????,????(SYNGENTA)",?????? ???-??????(??-??? ? ?????????-???????? ? ???????-???),	Field Preparation	,RABI,AGRICULTURE,MAHARASHTRA
17,MOKHED,Fiber Crops,2017-01-01 12:25:03.243,Cotton (Kapas),NANDED,COTTON MARKET RATE=	----	KINWAT	QUINTAL	59	4800	4950	4900,ASKED ABOUT COTTON MARKET RATE?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
18,HADGAON                                           ,Cereals,2017-01-01 12:27:50.180,Wheat,NANDED,19:19:19 60GM+ MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER WATER,Growth Sprayer?,Agriculture Mechanization	,RABI,AGRICULTURE,MAHARASHTRA
19,DEGLUR                                            ,Others,2017-01-01 12:28:12.280,Others,NANDED,"Ecocert India Pvt. Ltd.Bungalow No 21A,Shrirang City, Behind Ryan International School,Itkheda, Paithan Road Aurangabad - 0240 710 2501",FARMER ASKING ABOUT ORGANIC CERTIFICATION ?,Training and Exposure Visits,RABI,AGRICULTURE,MAHARASHTRA
