,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,SHEOGANJ                                          ,Others,2017-01-01 15:10:01.723,Others,SIROHI,NO  RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
1,PINDWARA                                          ,Condiments and Spices,2017-01-01 16:15:49.017,Fenugreek,SIROHI,SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER,TELL ME BLITES CONTROL IN,Fertilizer Use and Availability,RABI,HORTICULTURE,RAJASTHAN
2,PINDWARA                                          ,Cereals,2017-01-01 16:49:09.323,Wheat,SIROHI,NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
3,SIROHI                                            ,Fodder Crops,2017-01-02 09:56:30.380,Guinea Grass,SIROHI,JODHPUR (GRAIN)  GOWAR 3150,TELL ME MARKET RATE OF GUAR ?,Market Information,RABI,AGRICULTURE,RAJASTHAN
4,REODAR                                            ,Vegetables,2017-01-02 10:48:41.863,Potato,SIROHI,SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER,TELL ME  INSECT CONTROL IN POTATO,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
5,ABU ROAD                                          ,Condiments and Spices,2017-01-02 13:17:22.800,Fennel,SIROHI,SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER,TELL ME FUNGES CONTROL OF FENNEL,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
6,SHEOGANJ                                          ,Others,2017-01-02 15:20:41.040,Others,SIROHI,NO RAIN RAINFALL POSSIBILITE IN 5 DAYS IN YOUR DISTIC,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
7,REODAR                                            ,Cereals,2017-01-02 16:02:24.290,Wheat,SIROHI,NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
8,SHEOGANJ                                          ,Condiments and Spices,2017-01-02 17:47:15.200,Fennel,SIROHI,SPRAY OF WETTEBLE SULPHUR 80% WDG 2 GM PER LITER WATER,TELL ME TREATMENT IN CUMIN TO PROTECT FROM FROST,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
9,SHEOGANJ                                          ,Condiments and Spices,2017-01-02 17:57:22.743,Fennel,SIROHI,SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER,TELL ME FUNGS DIEASE FENNEL,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
10,SHEOGANJ                                          ,Cereals,2017-01-02 19:08:59.150,Wheat,SIROHI,SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER,TELL ME NUTRIENT MANAGEMENT IN WHEAT ?,Nutrient Management,RABI,AGRICULTURE,RAJASTHAN
11,REODAR                                            ,Others,2017-01-03 11:02:02.300,Others,SIROHI,NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
