,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,NAMAKKAL                                          ,Avian,2017-01-01 08:27:50.497,Guineafowl,NAMAKKAL,"Recommended namakkal Veterinary University Training and Research Centre, contact no. 04286 - 266345",asking for the contact number of the namakkal Veterinary University Training and Research Centre,Dairy Production,RABI,ANIMAL HUSBANDRY,TAMILNADU
1,TIRUCHENGODU                                      ,Others,2017-01-04 14:53:18.130,Others,NAMAKKAL,"Recommended for Contact to Nationalized Bank With Needed certificate(Chitta, Attankal, No dues certificate, Passport size photo.)or Primary Agriculture co- operative credit society .",Crop insurance Details,Crop Insurance,RABI,AGRICULTURE,TAMILNADU
2,RASIPURAM                                         ,Flowers,2017-01-04 17:25:28.237,Jasmine,NAMAKKAL,recommended for the spray :Triazophos 2 ml /lit of water,white fly in jasmine,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
3,SENDAMANGALAM                                     ,Vegetables,2017-01-04 18:17:03.500,Brinjal,NAMAKKAL,recommended for spray azadirachtin - 3 ml/ lit of water,asking about brinjal fruit borer management,Fertilizer Use and Availability,RABI,HORTICULTURE,TAMILNADU
4,PUDUCHATRAM                                       ,Vegetables,2017-01-04 19:37:05.160,Bitter Gourd,NAMAKKAL,Recommended for spray Dimethoate 2 ml/lit of water,Mosaic management in bitter gourd,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
5,RASIPURAM                                         ,Vegetables,2017-01-05 12:51:10.580,Chillies,NAMAKKAL,recommended for FYM 10 tonnes + 25 kg urea + 150 kg super phosphate+ 20 kg potash/acre,asking about chilli basal fertilizer management (variety),Nutrient Management,RABI,HORTICULTURE,TAMILNADU
6,NAMAGIRIPET                                       ,Others,2017-01-05 13:06:38.820,Others,NAMAKKAL,Recommended for contact to block level nationalized bank,Asking about Kisan credit card information,Government Schemes,RABI,AGRICULTURE,TAMILNADU
7,TIRUCHENGODU                                      ,Others,2017-01-05 14:20:56.893,Others,NAMAKKAL,Recommended for download kissan suvidha agriculture apps through Google play store,Asking about Kissan agriculture app,"Power, Roads etc.",RABI,AGRICULTURE,TAMILNADU
8,NAMAKKAL                                          ,Fodder Crops,2017-01-05 14:28:04.947,Napier Grass,NAMAKKAL,Recommended for apply Urea 65 kg / acre,Cumbu napier top dressing fertilizer  management,Fertilizer Use and Availability,RABI,AGRICULTURE,TAMILNADU
9,TIRUCHENGODU                                      ,Others,2017-01-05 14:43:27.817,Others,NAMAKKAL,Recommended for today have no rainfall (0 mm).,Namakkal weather report,Weather,RABI,AGRICULTURE,TAMILNADU
10,NAMAKKAL                                          ,Vegetables,2017-01-05 15:27:51.343,Watermelon,NAMAKKAL,"Recommended for Sow the seeds during November – December .Varieties Are : Sugar Baby and Arka Manik,PKM 1 and Hybrids Are : Arka Jyoti and Pusa Bedana .",Watermelon planting season and varieties,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
11,NAMAKKAL                                          ,Medicinal and Aromatic Plants,2017-01-05 15:38:49.660,Periwinkle,NAMAKKAL,recommended for contact to State Horticulture Farm –04286-280827,Asked about andrograpis seedlings availability,Seeds and Planting Material,RABI,HORTICULTURE,TAMILNADU
12,PUDUCHATRAM                                       ,Vegetables,2017-01-05 15:42:42.147,Bitter Gourd,NAMAKKAL,Recommended for bitter gourd spacing :  2.5 x 2 m,asking about bitter gourd spacing,Cultural Practices,RABI,HORTICULTURE,TAMILNADU
13,NAMAGIRIPET                                       ,Others,2017-01-05 16:33:07.413,Others,NAMAKKAL,"Recommended for Today and tomorrow having cloudy weather and Possibility of light  Rainfall chances (Temperature will be 32 degree Celsius (°C), Precipitation Chances (16 % ) , Humidity level will be ( 48 % ) Wind speed  8 km / hr .",Weather report for Namakkal district,Weather,RABI,AGRICULTURE,TAMILNADU
14,RASIPURAM                                         ,Oilseeds,2017-01-06 07:21:09.453,Groundnut (pea nut/mung phalli),NAMAKKAL,Recommended for apply 1kg pseudomonas fluorescens / acre by mixing with 20 kg of FYM.,Groundnut Bio-fertilizer application,	Plant Protection	,RABI,AGRICULTURE,TAMILNADU
15,SENDAMANGALAM                                     ,Oilseeds,2017-01-06 09:25:20.133,Sesame (Gingelly/Til)/Sesamum,NAMAKKAL,"Recommended for sesame variety TMV 3, TMV 4, TMV 6, TMV 7, CO 1, VRI (SV) 1, SVPR 1, VRI (SV) 2",asking about sesame variety,Varieties,JAYAD,AGRICULTURE,TAMILNADU
16,PUDUCHATRAM                                       ,Vegetables,2017-01-06 12:00:58.630,Others,NAMAKKAL,"recommended contact no for Salem District horticulture department Deputy Director of Horticulture
Joint Director of Agriculture Office building, 1, Cherry Road
Salem- 0427-2451382/04292-244608",contact no for Salem District horticulture department,Government Schemes,RABI,HORTICULTURE,TAMILNADU
17,NAMAGIRIPET                                       ,Inland,2017-01-06 12:10:44.047,Fresh Water,NAMAKKAL,Recommneded to contact salem district fishery department phone:04298-244045,Asking about fish production details,Water Testing for Fish Production,RABI,FISHERIES,TAMILNADU
18,ERUMAPATTY                                        ,Sugar and Starch Crops,2017-01-06 13:59:23.197,Tapioca (Cassava),NAMAKKAL,Recommended for apply urea 40kg + super phosphate 225kg + potash 80kg / ac,Tapioca basal fertilizer management,Fertilizer Use and Availability,RABI,AGRICULTURE,TAMILNADU
19,SENDAMANGALAM                                     ,Animal,2017-01-06 14:56:10.250,"Bovine(Cow,Buffalo)",NAMAKKAL,recommended for the contact number  : 04286-266345,Namakkal veterinary department contact number,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",RABI,ANIMAL HUSBANDRY,TAMILNADU
20,KABILAMALAI                                       ,Plantation Crops,2017-01-06 15:50:46.970,Coconut,NAMAKKAL,Recommended for Avalpoonthurai coconut copra market rate Rs 7035-7385/ quintal,Avalpoonthurai coconut copra market rate,Market Information,RABI,HORTICULTURE,TAMILNADU
21,TIRUCHENGODU                                      ,Vegetables,2017-01-06 16:34:10.673,Drum Stick,NAMAKKAL,"Recommended for Executive Engineer (AE),
No.1/597. P.S.K. Towers,
Salem Road, Nammakkal,
Nammakkal District - 637 001.
Phone - 04286 27 54 72",Agricultural Engineering Department,Government Schemes,RABI,HORTICULTURE,TAMILNADU
22,TIRUCHENGODU                                      ,Plantation Crops,2017-01-06 17:25:58.323,Coconut,NAMAKKAL,Recommended for February to May to give 65 litre of water / day in normal condition (for best yield),asking about Water management for drip fertigation,"Water Management, Micro Irrigation",RABI,HORTICULTURE,TAMILNADU
23,NAMAKKAL                                          ,Cereals,2017-01-06 17:59:27.653,Paddy (Dhan),NAMAKKAL,Recommended for apply ammonium sulphate 30kg / ac,paddy fertilizer management,Fertilizer Use and Availability,RABI,AGRICULTURE,TAMILNADU
24,NAMAKKAL                                          ,Condiments and Spices,2017-01-06 18:51:33.300,Turmeric,NAMAKKAL,recommended for drench with carbendazim 2 gm /litre of water,Asked about turmeric rhizome rot management,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
25,NAMAKKAL                                          ,Others,2017-01-06 18:53:54.607,Others,NAMAKKAL,recommended for today and tommarrow cloudy weather and no possibility of rainfall,Asked about weather report information,Weather,RABI,AGRICULTURE,TAMILNADU
26,NAMAGIRIPET                                       ,Others,2017-01-06 19:23:12.387,Others,NAMAKKAL,recommended for Dharmapuri market price Rs.5070-5600 /Quintal (06.01.17),asking about cotton market information,Market Information,RABI,AGRICULTURE,TAMILNADU
27,NAMAKKAL                                          ,Others,2017-01-07 07:42:41.833,Others,NAMAKKAL,recommended for today and tommarrow cloudy weather and no possibility of rainfall,Asked about weather report information,Weather,RABI,AGRICULTURE,TAMILNADU
28,NAMAGIRIPET                                       ,Others,2017-01-07 08:59:52.150,Others,NAMAKKAL,recommended for phone number:04286-275472,asking about agricultural engineering department phone number,Government Schemes,RABI,AGRICULTURE,TAMILNADU
29,NAMAGIRIPET                                       ,Others,2017-01-07 09:01:01.753,Others,NAMAKKAL,recommended for phone number:04286-275472,asking about agricultural engineering department phone number,Government Schemes,RABI,AGRICULTURE,TAMILNADU
30,SENDAMANGALAM                                     ,Others,2017-01-07 10:21:55.460,Others,NAMAKKAL,"Recommended for contact to Dr .A.S.Krishnamoorthy, Professor and Head, Department of Plant Pathology, TNAU, Coimbatore-641003 ph : 0422-6611226",Asking about Nematode management,	Plant Protection	,RABI,AGRICULTURE,TAMILNADU
31,ERUMAPATTY                                        ,Sugar and Starch Crops,2017-01-07 10:24:37.073,Sugarcane (Noble Cane),NAMAKKAL,Recommended for apply urea 100 kg + potash 30 kg + neem cake 50 kg /acre,Top dressing fertilizer management for ratoon sugarcane,Fertilizer Use and Availability,RABI,AGRICULTURE,TAMILNADU
32,TIRUCHENGODU                                      ,Others,2017-01-07 17:03:58.317,Others,NAMAKKAL,"Recommended for Today and tomorrow having cloudy weather and Possibility of light  Rainfall chances (Temperature will be 32 degree Celsius (°C), Precipitation Chances (16 % ) , Humidity level will be ( 48 % ) Wind speed  8 km / hr .",Weather report for Namakkal district,Weather,RABI,AGRICULTURE,TAMILNADU
33,ERUMAPATTY                                        ,Plantation Crops,2017-01-07 18:32:56.577,Coconut,NAMAKKAL,Recommended to contact crop physiology department  0422-6611243,Asked about crop physiology department  contact no,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
34,TIRUCHENGODU                                      ,Fruits,2017-01-07 18:34:11.423,Mango,NAMAKKAL,Recommended for contact to Phone number:04286-280827.,Horticulture department contact number,Fertilizer Use and Availability,RABI,HORTICULTURE,TAMILNADU
35,SENDAMANGALAM                                     ,Vegetables,2017-01-08 16:46:42.283,Onion,NAMAKKAL,Recommended for Foliar Spray of Pink-Pigmented Facultative Methylotrophs (PPFM) (Methylobacterium) 10 ml / 1 liter of water.,asking about Onion foliar application information,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
36,KABILAMALAI                                       ,Vegetables,2017-01-08 17:12:25.290,Drum Stick,NAMAKKAL,Recommended for spray carbendazim 2 gram /litre of water.,Leaf blight in drum stick,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
37,RASIPURAM                                         ,Condiments and Spices,2017-01-08 19:29:53.060,Turmeric,NAMAKKAL,RECOMMENDED FOR contact to agriculture office,Asking about crop insurance details,Crop Insurance,RABI,HORTICULTURE,TAMILNADU
38,KABILAMALAI                                       ,Plantation Crops,2017-01-09 10:03:48.437,Coconut,NAMAKKAL,Recommended for apply urea 1.300kg + super phosphate 2kg + potash 2 kg + neem cake 5kg + farm yard manure 50kg + micro mixture 1kg / tree / year,coconut fertilizer management,Fertilizer Use and Availability,RABI,HORTICULTURE,TAMILNADU
39,ERUMAPATTY                                        ,Vegetables,2017-01-09 10:33:16.137,Drum Stick,NAMAKKAL,Recommended for Dig pits of size 45 cm x 45 cm x 45 cm with a spacing of 2.0 - 2.5 m either way. Apply 15 kg of compost or FYM/pit after mixing with top soil.,Annual moringa planting spacing and basal fertilizer application,Field Preparation,RABI,HORTICULTURE,TAMILNADU
40,KABILAMALAI                                       ,Cereals,2017-01-09 11:57:39.503,Paddy (Dhan),NAMAKKAL,Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg / ac,paddy top dressing fertilizer management,Fertilizer Use and Availability,RABI,AGRICULTURE,TAMILNADU
41,KABILAMALAI                                       ,Vegetables,2017-01-09 12:03:14.377,Drum Stick,NAMAKKAL,"Recommended for Drum stick planting season : July – October and variety : PKM 1, PKM 2 and KKM 1",Drum stick planting season and variety,Seeds and Planting Material,JAYAD,HORTICULTURE,TAMILNADU
42,KABILAMALAI                                       ,Sugar and Starch Crops,2017-01-09 12:23:18.267,Tapioca (Cassava),NAMAKKAL,Recommended for apply urea 39 kg + potash 80 kg / acre,Tapioca top dressing fertilizer application,Nutrient Management,RABI,AGRICULTURE,TAMILNADU
